m1 0 m2 m3 -90 -90 0      |3
m1 92 m2 m3 -90 -90 40    |1
m1 92 m2 m3 -90 -90 -20   |2
0 92 -90 90 -90 -90 -20   |3
0 92 -90 90 -90 -90 20    |2
0 85 -90 90 -90 -90 20    |3
0 85 -90 90 -90 -90 -25   |4
10 85 -90 90 -90 -90 -25  |6
10 30 -90 75 -90 -90 -25  |7
10 10 -40 40 -90 -90 -25  |4
-10 10 -40 40 -90 -90 -25 |3
10 10 -40 40 -90 -90 -25  |6
-10 10 -40 40 -90 -90 -25 |3
10 10 -40 40 -90 -90 -25  |6
-10 10 -40 40 -90 -90 -25 |3
10 10 -40 40 -90 -90 -25  |7
10 10 -40 40 -90 90 -25   |2
10 30 -90 75 -90 90 -25   |7
10 85 -90 90 -90 90 -25   |3
10 85 -90 90 -90 90 0     |7
10 75 -90 90 -90 90 0     |3
0 0 -90 -90 90 0 0        |1
